,key,options
2,CREGION,"['Northeast', 'Midwest', 'South', 'West']"
3,AGE,"['18-29', '30-49', '50-64', '65+']"
4,SEX,"['Male', 'Female']"
6,EDUCATION,"['Less than high school', 'High school graduate', 'Some college, no degree', ""Associate's degree"", 'College graduate/some postgrad', 'Postgraduate']"
11,CITIZEN,"['Yes', 'No']"
12,MARITAL,"['Married', 'Divorced', 'Separated', 'Widowed', 'Never been married']"
13,RELIG,"['Protestant', 'Roman Catholic', 'Mormon', 'Orthodox', 'Jewish', 'Muslim', 'Buddhist', 'Hindu', 'Atheist', 'Agnostic', 'Other', 'Nothing in particular']"
15,RELIGATTEND,"['More than once a week', 'Once a week', 'Once or twice a month', 'A few times a year', 'Seldom', 'Never']"
16,POLPARTY,"['Republican', 'Democrat', 'Independent', 'Other']"
19,INCOME,"['Less than $30,000', '$30,000-$50,000', '$50,000-$75,000', '$75,000-$100,000', '$100,000 or more']"
22,POLIDEOLOGY,"['Very conservative', 'Conservative', 'Moderate', 'Liberal', 'Very liberal']"
25,RACE,"['White', 'Black', 'Asian', 'Hispanic', 'Other']"
