,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal
0,0,0,OPTIMIST_W41,"{1.0: 'Very optimistic', 2.0: 'Somewhat optimistic', 3.0: 'Somewhat pessimistic', 4.0: 'Very pessimistic', 99.0: 'Refused'}","Please think about what things will be like in 2050, about 30 years from now. Thinking about the future of the United States, would you say you are","['Very optimistic', 'Somewhat optimistic', 'Somewhat pessimistic', 'Very pessimistic', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
1,1,1,AVGFAM_W41,"{1.0: 'Get better', 2.0: 'Stay about the same', 3.0: 'Get worse', 99.0: 'Refused'}","Over the next 30 years, do you think that the average American family will see its standard of living","['Get better', 'Stay about the same', 'Get worse', 'Refused']","[1.0, 2.0, 3.0]"
2,2,2,HAPPENa_W41,"{1.0: 'The U.S. economy will be stronger', 2.0: 'The U.S. economy will be weaker', 99.0: 'Refused'}","Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. economy will be stronger/weaker","['The U.S. economy will be stronger', 'The U.S. economy will be weaker', 'Refused']","[1.0, 2.0]"
3,3,3,HAPPENb_W41,"{1.0: 'Health care will be more affordable', 2.0: 'Health care will be less affordable', 99.0: 'Refused'}","Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Health care will be more/less affordable","['Health care will be more affordable', 'Health care will be less affordable', 'Refused']","[1.0, 2.0]"
4,4,4,HAPPENc_W41,"{1.0: 'Race relations will improve', 2.0: 'Race relations will get worse', 99.0: 'Refused'}","Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Race relations will improve/get worse","['Race relations will improve', 'Race relations will get worse', 'Refused']","[1.0, 2.0]"
5,5,5,HAPPENd_W41,"{1.0: 'The U.S. will be more important in the world', 2.0: 'The U.S. will be less important in the world', 99.0: 'Refused'}","Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The U.S. will be more/less important in the world","['The U.S. will be more important in the world', 'The U.S. will be less important in the world', 'Refused']","[1.0, 2.0]"
6,6,6,HAPPENe_W41,"{1.0: 'The gap between the rich and the poor will grow', 2.0: 'The gap between the rich and the poor will get smaller', 99.0: 'Refused'}","Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The gap between the rich and the poor will grow/get smaller","['The gap between the rich and the poor will grow', 'The gap between the rich and the poor will get smaller', 'Refused']","[1.0, 2.0]"
7,7,7,HAPPENf_W41,"{1.0: 'The public education system will improve', 2.0: 'The public education system will get worse', 99.0: 'Refused'}","Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The public education system will improve/get worse","['The public education system will improve', 'The public education system will get worse', 'Refused']","[1.0, 2.0]"
8,8,8,HAPPENg_W41,"{1.0: 'Religion will become less important', 2.0: 'Religion will be about as important as it is now', 99.0: 'Refused'}","Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Religion will become less/about as important","['Religion will become less important', 'Religion will be about as important as it is now', 'Refused']","[1.0, 2.0]"
9,9,9,HAPPENhF1_W41,"{1.0: 'People 65 and older will have a better standard of living', 2.0: 'People 65 and older will have a worse standard of living', 99.0: 'Refused'}","Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? People 65 and older will have a better/worse standard of living","['People 65 and older will have a better standard of living', 'People 65 and older will have a worse standard of living', 'Refused']","[1.0, 2.0]"
10,10,10,HAPPENiF2_W41,"{1.0: 'Children will have a better standard of living', 2.0: 'Children will have a worse standard of living', 99.0: 'Refused'}","Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? Children will have a better/worse standard of living","['Children will have a better standard of living', 'Children will have a worse standard of living', 'Refused']","[1.0, 2.0]"
11,11,11,HAPPENj_W41,"{1.0: 'The country will be more politically divided', 2.0: 'The country will be less politically divided', 99.0: 'Refused'}","Still thinking ahead 30 years, which do you think is more likely to happen in the U.S.? The country will be more/less politically divided","['The country will be more politically divided', 'The country will be less politically divided', 'Refused']","[1.0, 2.0]"
12,12,12,HAPPEN2a_W41,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",How likely do you think it is that the following will happen in the next 30 years? There will be a terrorist attack on the U.S. as bad as or worse than 9/11,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
13,13,13,HAPPEN2b_W41,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
14,14,14,HAPPEN2c_W41,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",How likely do you think it is that the following will happen in the next 30 years? There will be a cure for Alzheimer's disease,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
15,15,15,HAPPEN2d_W41,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",How likely do you think it is that the following will happen in the next 30 years? China will overtake the U.S. as the world's main superpower,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
16,16,16,HAPPEN2e_W41,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",How likely do you think it is that the following will happen in the next 30 years? A woman will be elected U.S. president,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
17,17,17,HAPPEN2f_W41,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",How likely do you think it is that the following will happen in the next 30 years? A Hispanic person will be elected U.S. president,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
18,18,18,HAPPEN2g_W41,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",How likely do you think it is that the following will happen in the next 30 years? Most Americans will work into their 70s to have enough resources to retire,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
19,19,19,HAPPEN2h_W41,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",How likely do you think it is that the following will happen in the next 30 years? There will be increasing violence against Jews in the U.S.,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
20,20,20,NATDEBT_W41,"{1.0: 'Grow larger', 2.0: 'Stay about the same', 3.0: 'Be reduced', 4.0: 'Be eliminated', 99.0: 'Refused'}",Which do you think is most likely to occur over the next 30 years? The national debt will,"['Grow larger', 'Stay about the same', 'Be reduced', 'Be eliminated', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
21,21,21,ENVC_W41,"{1.0: 'Better than it is now', 2.0: 'Worse than it is now', 3.0: 'About the same as it is now', 99.0: 'Refused'}","By the year 2050, do you think the overall condition of the environment will be","['Better than it is now', 'Worse than it is now', 'About the same as it is now', 'Refused']","[1.0, 2.0, 1.5]"
22,22,22,POPPROB_W41,"{1.0: 'Major problem', 2.0: 'Minor problem', 3.0: 'Not a problem', 99.0: 'Refused'}","In 2050, do you think population growth in the U.S. will be a","['Major problem', 'Minor problem', 'Not a problem', 'Refused']","[1.0, 2.0, 3.0]"
23,23,23,FTRWORRYa_W41,"{1.0: 'Very worried', 2.0: 'Fairly worried', 3.0: 'Not too worried', 4.0: 'Not at all worried', 99.0: 'Refused'}","Still thinking about the future of our country, how worried are you, if at all, about the overall soundness of our economic system?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
