,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal
0,0,0,PERSDISCR_W29,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}","Have you ever personally experienced discrimination or been treated unfairly because of your gender, or not?","['Yes', 'No', 'Refused']","[1.0, 2.0]"
1,1,1,NOWSMK_NHIS_W29,"{1.0: 'Every day', 2.0: 'Some days', 3.0: 'Not at all', 99.0: 'Refused'}",Do you now smoke cigarettes,"['Every day', 'Some days', 'Not at all', 'Refused']","[1.0, 2.0, 3.0]"
2,2,2,BLOODPR_W29,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}","Have you ever been told by a doctor or other health professional that you had hypertension, also called high blood pressure?","['Yes', 'No', 'Refused']","[1.0, 2.0]"
3,3,3,DIFF1A_W29,"{1.0: 'Men and women are basically similar', 2.0: 'Men and women are basically different', 99.0: 'Refused'}",Do you think men and women are basically similar or basically different when it comes to their hobbies and personal interests?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
4,4,4,DIFF1B_W29,"{1.0: 'Men and women are basically similar', 2.0: 'Men and women are basically different', 99.0: 'Refused'}",Do you think men and women are basically similar or basically different when it comes to their physical abilities?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
5,5,5,DIFF1C_W29,"{1.0: 'Men and women are basically similar', 2.0: 'Men and women are basically different', 99.0: 'Refused'}",Do you think men and women are basically similar or basically different when it comes to their approach to parenting?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
6,6,6,DIFF1D_W29,"{1.0: 'Men and women are basically similar', 2.0: 'Men and women are basically different', 99.0: 'Refused'}",Do you think men and women are basically similar or basically different when it comes to how they express their feelings?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
7,7,7,DIFF1E_W29,"{1.0: 'Men and women are basically similar', 2.0: 'Men and women are basically different', 99.0: 'Refused'}",Do you think men and women are basically similar or basically different when it comes to the things they are good at in the workplace?,"['Men and women are basically similar', 'Men and women are basically different', 'Refused']","[1.0, 2.0]"
8,8,8,MASC2_W29,"{1.0: 'Very manly or masculine', 2.0: 'Somewhat manly or masculine', 3.0: 'Not too manly or masculine', 4.0: 'Not at all manly or masculine', 99.0: 'Refused'}","Now thinking about how you see yourself, would you describe yourself as","['Very manly or masculine', 'Somewhat manly or masculine', 'Not too manly or masculine', 'Not at all manly or masculine', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
9,9,9,FEM2_W29,"{1.0: 'Very womanly or feminine', 2.0: 'Somewhat womanly or feminine', 3.0: 'Not too womanly or feminine', 4.0: 'Not at all womanly or feminine', 99.0: 'Refused'}","Now thinking about how you see yourself, would you describe yourself as","['Very womanly or feminine', 'Somewhat womanly or feminine', 'Not too womanly or feminine', 'Not at all womanly or feminine', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
10,10,10,MASC1F1_W29,"{1.0: 'Most people look up to men who are manly or masculine', 2.0: 'Most people look down on men who are manly or masculine', 3.0: 'Neither', 99.0: 'Refused'}","Thinking about how society sees men these days, in general, would you say","['Most people look up to men who are manly or masculine', 'Most people look down on men who are manly or masculine', 'Neither', 'Refused']","[1.0, 2.0, 1.5]"
11,11,11,MASC2AF1_W29,"{1.0: 'Good thing', 2.0: 'Bad thing', 99.0: 'Refused'}",Do you think it's a good thing or a bad thing that most people in our society look up to men who are manly or masculine?,"['Good thing', 'Bad thing', 'Refused']","[1.0, 2.0]"
12,12,12,MASC2BF1_W29,"{1.0: 'Good thing', 2.0: 'Bad thing', 99.0: 'Refused'}",Do you think it's a good thing or a bad thing that most people in our society look down on men who are manly or masculine?,"['Good thing', 'Bad thing', 'Refused']","[1.0, 2.0]"
13,13,13,FEM1F2_W29,"{1.0: 'Most people look up to women who are womanly or feminine', 2.0: 'Most people look down on women who are womanly or feminine', 3.0: 'Neither', 99.0: 'Refused'}","Thinking about how society sees women these days, in general, would you say","['Most people look up to women who are womanly or feminine', 'Most people look down on women who are womanly or feminine', 'Neither', 'Refused']","[1.0, 2.0, 1.5]"
14,14,14,FEM2AF2_W29,"{1.0: 'Good thing', 2.0: 'Bad thing', 99.0: 'Refused'}",Do you think it's a good thing or a bad thing that most people in our society look up to women who are womanly or feminine?,"['Good thing', 'Bad thing', 'Refused']","[1.0, 2.0]"
15,15,15,FEM2BF2_W29,"{1.0: 'Good thing', 2.0: 'Bad thing', 99.0: 'Refused'}",Do you think it's a good thing or a bad thing that most people in our society look down on women who are womanly or feminine?,"['Good thing', 'Bad thing', 'Refused']","[1.0, 2.0]"
16,16,16,GOODJOBS_W29,"{1.0: 'There are plenty of good jobs available', 2.0: 'Good jobs are difficult to find', 99.0: 'Refused'}","In general, thinking about job opportunities where you live, would you say that","['There are plenty of good jobs available', 'Good jobs are difficult to find', 'Refused']","[1.0, 2.0]"
17,17,17,HELPHURTA_W29,"{1.0: 'Has done more to help my job or career', 2.0: 'Has done more to hurt my job or career', 3.0: ""Hasn't made much of a difference"", 99.0: 'Refused'}","Thinking about your work life, has the growing number of immigrants working in this country done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
