,key,options
1,CREGION,"['Northeast', 'Midwest', 'South', 'West']"
2,AGE,"['18-29', '30-49', '50-64', '65+']"
3,SEX,"['Male', 'Female']"
5,EDUCATION,"['Less than high school', 'High school graduate', 'Some college, no degree', ""Associate's degree"", 'College graduate/some postgrad', 'Postgraduate']"
9,CITIZEN,"['Yes', 'No']"
10,MARITAL,"['Married', 'Divorced', 'Separated', 'Widowed', 'Never been married']"
11,RELIG,"['Protestant', 'Roman Catholic', 'Mormon', 'Orthodox', 'Jewish', 'Muslim', 'Buddhist', 'Hindu', 'Atheist', 'Agnostic', 'Other', 'Nothing in particular']"
13,RELIGATTEND,"['More than once a week', 'Once a week', 'Once or twice a month', 'A few times a year', 'Seldom', 'Never']"
14,POLPARTY,"['Republican', 'Democrat', 'Independent', 'Other']"
17,INCOME,"['Less than $30,000', '$30,000-$50,000', '$50,000-$75,000', '$75,000-$100,000', '$100,000 or more']"
20,POLIDEOLOGY,"['Very conservative', 'Conservative', 'Moderate', 'Liberal', 'Very liberal']"
23,RACE,"['White', 'Black', 'Asian', 'Hispanic', 'Other']"
