,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal
0,0,0,RACESURV1a_W43,"{1.0: 'In a better situation than I expected', 2.0: 'In a worse situation than I expected', 3.0: 'About where I expected', 99.0: 'Refused'}","For your physical health aspects of your life, would you say that you are, or about where you expected to be at this point in your life?","['In a better situation than I expected', 'In a worse situation than I expected', 'About where I expected', 'Refused']","[1.0, 2.0, 1.5]"
1,1,1,RACESURV1b_W43,"{1.0: 'In a better situation than I expected', 2.0: 'In a worse situation than I expected', 3.0: 'About where I expected', 99.0: 'Refused'}","For your job or career aspects of your life, would you say that you are, or about where you expected to be at this point in your life?","['In a better situation than I expected', 'In a worse situation than I expected', 'About where I expected', 'Refused']","[1.0, 2.0, 1.5]"
2,2,2,RACESURV1c_W43,"{1.0: 'In a better situation than I expected', 2.0: 'In a worse situation than I expected', 3.0: 'About where I expected', 99.0: 'Refused'}","For your relationships with family and friends aspects of your life, would you say that you are, or about where you expected to be at this point in your life?","['In a better situation than I expected', 'In a worse situation than I expected', 'About where I expected', 'Refused']","[1.0, 2.0, 1.5]"
3,3,3,RACESURV1d_W43,"{1.0: 'In a better situation than I expected', 2.0: 'In a worse situation than I expected', 3.0: 'About where I expected', 99.0: 'Refused'}","For your personal finances aspects of your life, would you say that you are, or about where you expected to be at this point in your life?","['In a better situation than I expected', 'In a worse situation than I expected', 'About where I expected', 'Refused']","[1.0, 2.0, 1.5]"
4,4,4,ADMISSIONa_W43,"{1.0: 'Major factor', 2.0: 'Minor factor', 3.0: 'Not a factor', 99.0: 'Refused'}","Do you think race or ethnicity should be a major factor, minor factor, or not a factor in college admissions?","['Major factor', 'Minor factor', 'Not a factor', 'Refused']","[1.0, 2.0, 3.0]"
5,5,5,ADMISSIONb_W43,"{1.0: 'Major factor', 2.0: 'Minor factor', 3.0: 'Not a factor', 99.0: 'Refused'}","Do you think gender should be a major factor, minor factor, or not a factor in college admissions?","['Major factor', 'Minor factor', 'Not a factor', 'Refused']","[1.0, 2.0, 3.0]"
6,6,6,ADMISSIONc_W43,"{1.0: 'Major factor', 2.0: 'Minor factor', 3.0: 'Not a factor', 99.0: 'Refused'}","Do you think whether a relative attended the school should be a major factor, minor factor, or not a factor in college admissions?","['Major factor', 'Minor factor', 'Not a factor', 'Refused']","[1.0, 2.0, 3.0]"
7,7,7,ADMISSIONd_W43,"{1.0: 'Major factor', 2.0: 'Minor factor', 3.0: 'Not a factor', 99.0: 'Refused'}","Do you think athletic ability should be a major factor, minor factor, or not a factor in college admissions?","['Major factor', 'Minor factor', 'Not a factor', 'Refused']","[1.0, 2.0, 3.0]"
8,8,8,ADMISSIONe_W43,"{1.0: 'Major factor', 2.0: 'Minor factor', 3.0: 'Not a factor', 99.0: 'Refused'}","Do you think involvement in community service should be a major factor, minor factor, or not a factor in college admissions?","['Major factor', 'Minor factor', 'Not a factor', 'Refused']","[1.0, 2.0, 3.0]"
9,9,9,ADMISSIONf_W43,"{1.0: 'Major factor', 2.0: 'Minor factor', 3.0: 'Not a factor', 99.0: 'Refused'}","Do you think scores on standardized tests, such as the SAT or act should be a major factor, minor factor, or not a factor in college admissions?","['Major factor', 'Minor factor', 'Not a factor', 'Refused']","[1.0, 2.0, 3.0]"
10,10,10,ADMISSIONg_W43,"{1.0: 'Major factor', 2.0: 'Minor factor', 3.0: 'Not a factor', 99.0: 'Refused'}","Do you think high school grades should be a major factor, minor factor, or not a factor in college admissions?","['Major factor', 'Minor factor', 'Not a factor', 'Refused']","[1.0, 2.0, 3.0]"
11,11,11,ADMISSIONh_W43,"{1.0: 'Major factor', 2.0: 'Minor factor', 3.0: 'Not a factor', 99.0: 'Refused'}","Do you think being the first person in the family to go to college should be a major factor, minor factor, or not a factor in college admissions?","['Major factor', 'Minor factor', 'Not a factor', 'Refused']","[1.0, 2.0, 3.0]"
12,12,12,RACESURV2_W43,"{1.0: 'Very good for the country', 2.0: 'Somewhat good for the country', 3.0: 'Somewhat bad for the country', 4.0: 'Very bad for the country', 5.0: 'Neither good nor bad for the country', 99.0: 'Refused'}","The U.S. population is made up of people of many different races and ethnicities. Overall, do you think this is","['Very good for the country', 'Somewhat good for the country', 'Somewhat bad for the country', 'Very bad for the country', 'Neither good nor bad for the country', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
13,13,13,RACESURV3_W43,"{1.0: ""Easier for policymakers to solve the country's problems"", 2.0: ""Harder for policymakers to solve the country's problems"", 3.0: ""Doesn't make much difference"", 99.0: 'Refused'}","In general, do you think the fact that the U.S. population is made up of people of many different races and ethnicities makes it","[""Easier for policymakers to solve the country's problems"", ""Harder for policymakers to solve the country's problems"", ""Doesn't make much difference"", 'Refused']","[1.0, 2.0, 1.5]"
14,14,14,RACESURV4_W43,"{1.0: ""A positive impact on the country's culture"", 2.0: ""A negative impact on the country's culture"", 3.0: ""Doesn't make much difference"", 99.0: 'Refused'}","In general, do you think the fact that the U.S. population is made up of people of many different races and ethnicities has","[""A positive impact on the country's culture"", ""A negative impact on the country's culture"", ""Doesn't make much difference"", 'Refused']","[1.0, 2.0, 1.5]"
15,15,15,RACESURV5a_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being white affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
16,16,16,RACESURV5b_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being black affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
17,17,17,RACESURV5c_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being Hispanic affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
18,18,18,RACESURV5d_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being Asian affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
19,19,19,RACESURV5e_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being Native American affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
20,20,20,RACESURV5f_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being Jewish affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
21,21,21,RACESURV5g_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being Muslim affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
22,22,22,RACESURV5h_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being an evangelical Christian affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
23,23,23,RACESURV5i_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being a man affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
24,24,24,RACESURV5j_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being a woman affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
25,25,25,RACESURV5k_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being poor affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
26,26,26,RACESURV5l_W43,"{1.0: 'Helps a lot', 2.0: 'Helps a little', 3.0: 'Hurts a little', 4.0: 'Hurts a lot', 5.0: 'Neither helps nor hurts', 99.0: 'Refused'}","Overall, how does being wealthy affect people's ability to get ahead in our country these days?","['Helps a lot', 'Helps a little', 'Hurts a little', 'Hurts a lot', 'Neither helps nor hurts', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
27,27,27,RACESURV6_W43,"{1.0: 'People seeing racial discrimination where it really does not exist', 2.0: 'People not seeing racial discrimination where it really does exist', 99.0: 'Refused'}","When it comes to racial discrimination, which do you think is the bigger problem for the country today?","['People seeing racial discrimination where it really does not exist', 'People not seeing racial discrimination where it really does exist', 'Refused']","[1.0, 2.0]"
28,28,28,RACESURV7_W43,"{1.0: 'Often', 2.0: 'Sometimes', 3.0: 'Rarely', 4.0: 'Never', 99.0: 'Refused'}","How often, if ever, does race or race relations come up in your conversations with family and friends?","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
29,29,29,RACESURV8_W43,"{1.0: 'Very comfortable', 2.0: 'Somewhat comfortable', 3.0: 'Somewhat uncomfortable', 4.0: 'Very uncomfortable', 99.0: 'Refused'}","When race or race relations comes up in your conversations with family and friends, are you generally","['Very comfortable', 'Somewhat comfortable', 'Somewhat uncomfortable', 'Very uncomfortable', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
30,30,30,RACESURV9_W43,"{1.0: 'Always with people who are the same race as you', 2.0: 'Mostly with people who are the same race as you', 3.0: 'Mostly with people who are not the same race as you', 4.0: 'Always with people who are not the same race as you', 5.0: 'Both about equally', 99.0: 'Refused'}","When race or race relations comes up in your conversations with family and friends, is it","['Always with people who are the same race as you', 'Mostly with people who are the same race as you', 'Mostly with people who are not the same race as you', 'Always with people who are not the same race as you', 'Both about equally', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
31,31,31,RACESURV10_W43,"{1.0: 'Generally good', 2.0: 'Generally bad', 99.0: 'Refused'}",Do you think race relations in the United States are,"['Generally good', 'Generally bad', 'Refused']","[1.0, 2.0]"
32,32,32,RACESURV11_W43,"{1.0: 'Getting better', 2.0: 'Getting worse', 3.0: 'Staying about the same', 99.0: 'Refused'}",Do you think race relations in the United States are,"['Getting better', 'Getting worse', 'Staying about the same', 'Refused']","[1.0, 2.0, 1.5]"
33,33,33,RACESURV12_W43,"{1.0: 'Gone too far', 2.0: 'Not gone far enough', 3.0: 'Been about right', 99.0: 'Refused'}","When it comes to giving black people equal rights with whites, do you think our country has","['Gone too far', 'Not gone far enough', 'Been about right', 'Refused']","[1.0, 2.0, 1.5]"
34,34,34,RACESURV13_W43,"{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not too likely', 4.0: 'Not at all likely', 99.0: 'Refused'}","How likely, if at all, is it that black people in our country will eventually have equal rights with whites?","['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
35,35,35,RACATTN_W43,"{1.0: 'Too much attention', 2.0: 'Too little attention', 3.0: 'About the right amount of attention', 99.0: 'Refused'}","In general, do you think there is too much, too little, or about the right amount of attention paid to race and racial issues in our country these days?","['Too much attention', 'Too little attention', 'About the right amount of attention', 'Refused']","[1.0, 2.0, 1.5]"
36,36,36,RACESURV14_W43,"{1.0: 'Made progress toward improving race relations', 2.0: 'Tried but failed to make progress toward improving race relations', 3.0: 'Not addressed race relations', 4.0: 'Made race relations worse', 99.0: 'Refused'}",Would you say President Trump has,"['Made progress toward improving race relations', 'Tried but failed to make progress toward improving race relations', 'Not addressed race relations', 'Made race relations worse', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
37,37,37,RACESURV15a_W43,"{1.0: 'More common', 2.0: 'Less common', 3.0: 'About as common', 99.0: 'Refused'}","Since President Trump was elected, do you think it has become more common or less common for people to express racist or racially insensitive views, or is it about as common as it was before?","['More common', 'Less common', 'About as common', 'Refused']","[1.0, 2.0, 1.5]"
38,38,38,RACESURV15b_W43,"{1.0: 'More acceptable', 2.0: 'Less acceptable', 3.0: 'About as acceptable', 99.0: 'Refused'}","Since President Trump was elected, do you think it has become more acceptable or less acceptable for people to express racist or racially insensitive views, or is it about as acceptable as it was before?","['More acceptable', 'Less acceptable', 'About as acceptable', 'Refused']","[1.0, 2.0, 1.5]"
39,39,39,RACESURV16_W43,"{1.0: 'The unique experiences of different racial and ethnic groups', 2.0: 'What different racial and ethnic groups have in common', 99.0: 'Refused'}","When it comes to improving race relations, do you think it is more important for people to focus on","['The unique experiences of different racial and ethnic groups', 'What different racial and ethnic groups have in common', 'Refused']","[1.0, 2.0]"
40,40,40,RACESURV17_W43,"{1.0: 'A great deal', 2.0: 'A fair amount', 3.0: 'Not much', 4.0: 'Not at all', 99.0: 'Refused'}","How much, if at all, do you think the legacy of slavery affects the position of black people in American society today?","['A great deal', 'A fair amount', 'Not much', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
41,41,41,RACESURV18a_W43,"{1.0: 'Very well', 2.0: 'Pretty well', 3.0: 'Not too well', 4.0: 'Not at all well', 5.0: 'Not sure', 99.0: 'Refused'}","Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Whites and Hispanics","['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
42,42,42,RACESURV18b_W43,"{1.0: 'Very well', 2.0: 'Pretty well', 3.0: 'Not too well', 4.0: 'Not at all well', 5.0: 'Not sure', 99.0: 'Refused'}","Thinking again about race and race relations in the U.S. in general, how well, if at all, do you think each of these groups get along with each other in our society these days? Blacks and Hispanics","['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
