,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal
0,0,0,CAREREL_W27,"{1.0: 'Very likely', 2.0: 'Somewhat likely', 3.0: 'Not too likely', 4.0: 'Not at all likely', 5.0: 'I am already doing this', 99.0: 'Refused'}","How likely is it that, at some point in your life, you will be responsible for caring for an aging parent or family member?","['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely', 'I am already doing this', 'Refused']","[1.0, 2.0, 3.0, 4.0, 2.5]"
1,1,1,INDUSTRY_W27,"{1.0: 'Hospitality or service', 2.0: 'Health care', 3.0: 'Manufacturing, mining, or construction', 4.0: 'Retail', 5.0: 'Education', 6.0: 'Banking, finance, accounting, real estate, or insurance', 7.0: 'Transportation', 8.0: 'Government, public administration or military', 9.0: 'Information/Technology', 10.0: 'Other', 11.0: 'Not currently employed', 99.0: 'Refused'}","What industry or field do you currently work in? If you have multiple jobs, please choose the one that you consider to be your main or primary occupation.","['Hospitality or service', 'Health care', 'Manufacturing, mining, or construction', 'Retail', 'Education', 'Banking, finance, accounting, real estate, or insurance', 'Transportation', 'Government, public administration or military', 'Information/Technology', 'Other', 'Not currently employed', 'Refused']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,2,2,PREDICTA_W27,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",Do you think the following will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
3,3,3,PREDICTB_W27,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",Do you think the following will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
4,4,4,PREDICTC_W27,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}",Do you think the following will or will not happen in the next 20 years? Most deliveries in cities will be made by robots or drones instead of humans,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
5,5,5,PREDICTD_W27,"{1.0: 'Will definitely happen', 2.0: 'Will probably happen', 3.0: 'Will probably not happen', 4.0: 'Will definitely not happen', 99.0: 'Refused'}","Do you think the following will or will not happen in the next 20 years? When people want to buy most common products, they will create them at home using a 3-D printer","['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
6,6,6,CARS1_W27,"{1.0: 'A lot', 2.0: 'A little', 3.0: 'Nothing at all', 99.0: 'Refused'}","How much have you seen or heard about the effort to develop driverless vehicles - that is, cars and trucks that can operate on their own without a human driver?","['A lot', 'A little', 'Nothing at all', 'Refused']","[1.0, 2.0, 3.0]"
7,7,7,CARS2_W27,"{1.0: 'Mostly positive', 2.0: 'Mostly negative', 3.0: 'A mix of both', 99.0: 'Refused'}","Has what you've seen or heard about driverless vehicles been mostly positive, mostly negative, or a mix of both?","['Mostly positive', 'Mostly negative', 'A mix of both', 'Refused']","[1.0, 2.0, 1.5]"
8,8,8,CARS3A_W27,"{1.0: 'Very enthusiastic', 2.0: 'Somewhat enthusiastic', 3.0: 'Not too enthusiastic', 4.0: 'Not at all enthusiastic', 99.0: 'Refused'}","How enthusiastic are you, if at all, about the development of driverless vehicles?","['Very enthusiastic', 'Somewhat enthusiastic', 'Not too enthusiastic', 'Not at all enthusiastic', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
9,9,9,CARS3B_W27,"{1.0: 'Very worried', 2.0: 'Somewhat worried', 3.0: 'Not too worried', 4.0: 'Not at all worried', 99.0: 'Refused'}","How worried are you, if at all, about the development of driverless vehicles?","['Very worried', 'Somewhat worried', 'Not too worried', 'Not at all worried', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
10,10,10,CARS4_W27,"{1.0: 'Less than 10 years', 2.0: '10 to less than 50 years', 3.0: '50 to less than 100 years', 4.0: '100 or more years', 5.0: 'It will never happen', 99.0: 'Refused'}","How long, if ever, do you think it will take for most of the vehicles on the road to be driverless, rather than driven by humans?","['Less than 10 years', '10 to less than 50 years', '50 to less than 100 years', '100 or more years', 'It will never happen', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0]"
11,11,11,CARS5_W27,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}","Would you, personally, want to ride in a driverless vehicle if you had the opportunity?","['Yes', 'No', 'Refused']","[1.0, 2.0]"
12,12,12,CARS7A_W27,"{1.0: 'Very safe', 2.0: 'Somewhat safe', 3.0: 'Not too safe', 4.0: 'Not safe at all', 99.0: 'Refused'}",How safe would you feel sharing the road with a driverless passenger vehicle?,"['Very safe', 'Somewhat safe', 'Not too safe', 'Not safe at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
13,13,13,CARS7B_W27,"{1.0: 'Very safe', 2.0: 'Somewhat safe', 3.0: 'Not too safe', 4.0: 'Not safe at all', 99.0: 'Refused'}",How safe would you feel sharing the road with a driverless freight truck?,"['Very safe', 'Somewhat safe', 'Not too safe', 'Not safe at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
14,14,14,CARS8_W27,"{1.0: 'Increase', 2.0: 'Decrease', 3.0: 'Stay about the same', 99.0: 'Refused'}","If driverless vehicles become widespread, do you think that the number of people killed or injured in traffic accidents will increase, decrease, or stay about the same?","['Increase', 'Decrease', 'Stay about the same', 'Refused']","[1.0, 2.0, 1.5]"
15,15,15,CARS9A_W27,"{1.0: 'Strongly favor', 2.0: 'Favor', 3.0: 'Oppose', 4.0: 'Strongly oppose', 99.0: 'Refused'}","Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to travel in dedicated lanes","['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
16,16,16,CARS9B_W27,"{1.0: 'Strongly favor', 2.0: 'Favor', 3.0: 'Oppose', 4.0: 'Strongly oppose', 99.0: 'Refused'}","Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Restricting them from traveling near certain areas, such as schools","['Strongly favor', 'Favor', 'Oppose', 'Strongly oppose', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
