,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal
0,0,0,SATLIFEa_W50,"{1.0: 'Very satisfied', 2.0: 'Somewhat satisfied', 3.0: 'Somewhat dissatisfied', 4.0: 'Very dissatisfied', 99.0: 'Refused'}",Please tell us whether you are satisfied or dissatisfied with your family life.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
1,1,1,SATLIFEb_W50,"{1.0: 'Very satisfied', 2.0: 'Somewhat satisfied', 3.0: 'Somewhat dissatisfied', 4.0: 'Very dissatisfied', 99.0: 'Refused'}",Please tell us whether you are satisfied or dissatisfied with your social life.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
2,2,2,SATLIFEc_W50,"{1.0: 'Very satisfied', 2.0: 'Somewhat satisfied', 3.0: 'Somewhat dissatisfied', 4.0: 'Very dissatisfied', 99.0: 'Refused'}",Please tell us whether you are satisfied or dissatisfied with your personal financial situation.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
3,3,3,SATLIFEd_W50,"{1.0: 'Very satisfied', 2.0: 'Somewhat satisfied', 3.0: 'Somewhat dissatisfied', 4.0: 'Very dissatisfied', 99.0: 'Refused'}",Please tell us whether you are satisfied or dissatisfied with your current job or career.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
4,4,4,FAMSURV1_W50,"{1.0: 'Working full-time for pay', 2.0: 'Working part-time for pay', 3.0: 'Not working for pay at all', 99.0: 'Refused'}","At this point in your life, which of the following would be best for you personally?","['Working full-time for pay', 'Working part-time for pay', 'Not working for pay at all', 'Refused']","[1.0, 2.0, 3.0]"
5,5,5,FAMSURV2Ma_W50,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","In general, how important, if at all, is being married in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
6,6,6,FAMSURV2Mb_W50,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","In general, how important, if at all, is being in a committed romantic relationship in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
7,7,7,FAMSURV2Mc_W50,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","In general, how important, if at all, is having children in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
8,8,8,FAMSURV2Md_W50,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","In general, how important, if at all, is having a job or career they enjoy in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
9,9,9,FAMSURV2Me_W50,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","In general, how important, if at all, is having a lot of money in order for a man to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
10,10,10,FAMSURV2Wa_W50,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","In general, how important, if at all, is being married in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
11,11,11,FAMSURV2Wb_W50,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","In general, how important, if at all, is being in a committed romantic relationship in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
12,12,12,FAMSURV2Wc_W50,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","In general, how important, if at all, is having children in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
13,13,13,FAMSURV2Wd_W50,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","In general, how important, if at all, is having a job or career they enjoy in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
14,14,14,FAMSURV2We_W50,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","In general, how important, if at all, is having a lot of money in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
15,15,15,FAMSURV3_W50,"{1.0: ""Yes, even if they don't plan to get married"", 2.0: 'Yes, but only if they plan to get married', 3.0: 'No, never acceptable', 99.0: 'Refused'}",Do you think it is ever acceptable for an unmarried couple to live together?,"[""Yes, even if they don't plan to get married"", 'Yes, but only if they plan to get married', 'No, never acceptable', 'Refused']","[1.0, 2.0, 3.0]"
16,16,16,FAMSURV4_W50,"{1.0: 'Society is better off if couples who want to stay together long-term eventually get married', 2.0: 'Society is just as well off if couples who want to stay together long-term decide not to marry', 99.0: 'Refused'}",Which statement comes closer to your view?,"['Society is better off if couples who want to stay together long-term eventually get married', 'Society is just as well off if couples who want to stay together long-term decide not to marry', 'Refused']","[1.0, 2.0]"
17,17,17,FAMSURV5a_W50,"{1.0: 'An unmarried person living with a partner has it easier', 2.0: 'A married person has it easier', 3.0: ""Doesn't make much difference"", 99.0: 'Refused'}","Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving being financially secure goals?","['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']","[1.0, 2.0, 1.5]"
18,18,18,FAMSURV5b_W50,"{1.0: 'An unmarried person living with a partner has it easier', 2.0: 'A married person has it easier', 3.0: ""Doesn't make much difference"", 99.0: 'Refused'}","Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving having a fulfilling sex life goals?","['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']","[1.0, 2.0, 1.5]"
19,19,19,FAMSURV5c_W50,"{1.0: 'An unmarried person living with a partner has it easier', 2.0: 'A married person has it easier', 3.0: ""Doesn't make much difference"", 99.0: 'Refused'}","Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving having social status goals?","['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']","[1.0, 2.0, 1.5]"
20,20,20,FAMSURV5d_W50,"{1.0: 'An unmarried person living with a partner has it easier', 2.0: 'A married person has it easier', 3.0: ""Doesn't make much difference"", 99.0: 'Refused'}","Here are some things that people may want out of life. In general, who do you think has it easier when it comes to achieving being happy goals?","['An unmarried person living with a partner has it easier', 'A married person has it easier', ""Doesn't make much difference"", 'Refused']","[1.0, 2.0, 1.5]"
21,21,21,FAMSURV6_W50,"{1.0: 'Strongly favor', 2.0: 'Somewhat favor', 3.0: 'Somewhat oppose', 4.0: 'Strongly oppose', 99.0: 'Refused'}","How do you feel about allowing unmarried couples to enter into legal agreements that would give them the same rights as married couples when it comes to things like health insurance, inheritance or tax benefits?","['Strongly favor', 'Somewhat favor', 'Somewhat oppose', 'Strongly oppose', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
22,22,22,FAMSURV7_W50,"{1.0: 'Better chance of having a successful marriage', 2.0: 'Worse chance of having a successful marriage', 3.0: ""Doesn't make much difference"", 99.0: 'Refused'}","Compared with couples who don't live together before marriage, do you think couples who do live together before marriage have a","['Better chance of having a successful marriage', 'Worse chance of having a successful marriage', ""Doesn't make much difference"", 'Refused']","[1.0, 2.0, 1.5]"
23,23,23,FAMSURV8_W50,"{1.0: 'Couples who are married do a better job raising children than couples who are living together but are not married', 2.0: 'Couples who are living together but are not married can raise children just as well as married couples', 99.0: 'Refused'}",Which statement comes closer to your view?,"['Couples who are married do a better job raising children than couples who are living together but are not married', 'Couples who are living together but are not married can raise children just as well as married couples', 'Refused']","[1.0, 2.0]"
24,24,24,FAMSURV9a_W50,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important, if at all, do you think it is for a person to be financially stable before getting married?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
25,25,25,FAMSURV9b_W50,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important, if at all, do you think it is for a person to have a steady job before getting married?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
26,26,26,FAMSURV9c_W50,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important, if at all, do you think it is for a person to buy a house before getting married?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
27,27,27,FAMSURV9e_W50,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important, if at all, do you think it is for a person to be completely committed to their partner before getting married?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
28,28,28,FAMSURV10a_W50,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to be financially stable before moving in with their partner?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
29,29,29,FAMSURV10b_W50,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to have a steady job before moving in with their partner?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
30,30,30,FAMSURV10c_W50,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to buy a house before moving in with their partner?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
31,31,31,FAMSURV10e_W50,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","If a person decides to move in with a partner without being married, how important, if at all, do you think it is for that person to be completely committed to their partner before moving in with their partner?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
32,32,32,FAMSURV11W_W50,"{1.0: 'Working full-time for pay', 2.0: 'Working part-time for pay', 3.0: 'Not working for pay at all', 99.0: 'Refused'}",What do you think is the ideal situation for women with young children?,"['Working full-time for pay', 'Working part-time for pay', 'Not working for pay at all', 'Refused']","[1.0, 2.0, 3.0]"
33,33,33,FAMSURV11M_W50,"{1.0: 'Working full-time for pay', 2.0: 'Working part-time for pay', 3.0: 'Not working for pay at all', 99.0: 'Refused'}",What do you think is the ideal situation for men with young children?,"['Working full-time for pay', 'Working part-time for pay', 'Not working for pay at all', 'Refused']","[1.0, 2.0, 3.0]"
34,34,34,FAMSURV12_W50,"{1.0: 'Too much for their adult children', 2.0: 'Too little for their adult children', 3.0: 'About the right amount', 99.0: 'Refused'}",Thinking about parents of young adults ages 18 to 29,"['Too much for their adult children', 'Too little for their adult children', 'About the right amount', 'Refused']","[1.0, 2.0, 1.5]"
35,35,35,MOTHER_W50,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}",Is your mother living?,"['Yes', 'No', 'Refused']","[1.0, 2.0]"
36,36,36,FATHER_W50,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}",Is your father living?,"['Yes', 'No', 'Refused']","[1.0, 2.0]"
37,37,37,SIB_W50,"{1.0: 'Yes, one', 2.0: 'Yes, more than one', 3.0: 'No, do not have any brothers or sisters', 99.0: 'Refused'}",Do you have any brothers or sisters?,"['Yes, one', 'Yes, more than one', 'No, do not have any brothers or sisters', 'Refused']","[1.0, 2.0, 3.0]"
38,38,38,REMARR_W50,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}",Have you been married more than once?,"['Yes', 'No', 'Refused']","[1.0, 2.0]"
39,39,39,ENG_W50,"{1.0: 'Yes, engaged', 2.0: 'No, not engaged', 99.0: 'Refused'}",Are you currently engaged to be married?,"['Yes, engaged', 'No, not engaged', 'Refused']","[1.0, 2.0]"
40,40,40,LWPT_W50,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}",Are you currently living with a partner or boyfriend or girlfriend? By living together we mean that you are in a relationship and neither of you have a separate residence.,"['Yes', 'No', 'Refused']","[1.0, 2.0]"
41,41,41,MAR2_W50,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}",Are you currently in a committed romantic relationship?,"['Yes', 'No', 'Refused']","[1.0, 2.0]"
42,42,42,FAMSURV16_W50,"{1.0: 'Would like to be in a romantic relationship', 2.0: ""Don't want to be in a romantic relationship"", 3.0: ""Doesn't make much difference"", 99.0: 'Refused'}",Which of the following best describes your current situation? Would you say you,"['Would like to be in a romantic relationship', ""Don't want to be in a romantic relationship"", ""Doesn't make much difference"", 'Refused']","[1.0, 2.0, 1.5]"
43,43,43,FAMSURV17_W50,"{1.0: 'Your spouse', 2.0: 'Your partner or boyfriend or girlfriend', 3.0: 'An adult child', 4.0: 'A sibling', 5.0: 'Your mother', 6.0: 'Your father', 7.0: 'A friend', 8.0: 'Another A family member', 9.0: 'Someone else', 99.0: 'Refused'}","Thinking about the adults in your life, who is the person you feel closest to?","['Your spouse', 'Your partner or boyfriend or girlfriend', 'An adult child', 'A sibling', 'Your mother', 'Your father', 'A friend', 'Another A family member', 'Someone else', 'Refused']","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
44,44,44,ADKIDS_W50,"{1.0: 'Yes, one child ages 18 to 29', 2.0: 'Yes, more than one child ages 18 to 29', 3.0: 'No children ages 18 to 29', 99.0: 'Refused'}",Do you have any children ages 18 to 29?,"['Yes, one child ages 18 to 29', 'Yes, more than one child ages 18 to 29', 'No children ages 18 to 29', 'Refused']","[1, 1, 1]"
45,45,45,PAR1_W50,"{1.0: 'Too much for your adult child(ren) ages 18 to 29', 2.0: 'Too little for your adult child(ren) ages 18 to 29', 3.0: 'About the right amount', 99.0: 'Refused'}","In general, do you think you do","['Too much for your adult child(ren) ages 18 to 29', 'Too little for your adult child(ren) ages 18 to 29', 'About the right amount', 'Refused']","[1.0, 2.0, 1.5]"
46,46,46,PAR2_W50,"{1.0: 'Too much for you', 2.0: 'Too little for you', 3.0: 'About the right amount', 99.0: 'Refused'}","In general, do you think your parents do mother does father does","['Too much for you', 'Too little for you', 'About the right amount', 'Refused']","[1.0, 2.0, 1.5]"
47,47,47,ROMRELDUR_W50,"{1.0: 'Less than 3 months', 2.0: '3 months to less than 6 months', 3.0: '6 months to less than 1 year', 4.0: '1 year to less than 3 years', 5.0: '3 years to less than 5 years', 6.0: '5 years or more', 99.0: 'Refused'}",How long have you been in your current romantic relationship?,"['Less than 3 months', '3 months to less than 6 months', '6 months to less than 1 year', '1 year to less than 3 years', '3 years to less than 5 years', '5 years or more', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
48,48,48,MARRDUR_W50,"{1.0: 'Less than one year', 2.0: '1 year to less than 3 years', 3.0: '3 years to less than 5 years', 4.0: '5 years to less than 10 years', 5.0: '10 years to less than 20 years', 6.0: '20 years or more', 99.0: 'Refused'}",Now thinking about your spouse how long have you and your spouse been married?,"['Less than one year', '1 year to less than 3 years', '3 years to less than 5 years', '5 years to less than 10 years', '10 years to less than 20 years', '20 years or more', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
49,49,49,COHABDUR_W50,"{1.0: 'Less than one year', 2.0: '1 year to less than 3 years', 3.0: '3 years to less than 5 years', 4.0: '5 years to less than 10 years', 5.0: '10 years to less than 20 years', 6.0: '20 years or more', 99.0: 'Refused'}",Now thinking about the partner you are currently living with how long have you and your partner been living together?,"['Less than one year', '1 year to less than 3 years', '3 years to less than 5 years', '5 years to less than 10 years', '10 years to less than 20 years', '20 years or more', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
50,50,50,LWPSP_W50,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}",Did you live with your current spouse before getting married?,"['Yes', 'No', 'Refused']","[1.0, 2.0]"
51,51,51,FAMSURV18A_W50,"{1.0: 'Yes, thought of it as a step toward marriage', 2.0: 'No, did not think of it as a step toward marriage', 99.0: 'Refused'}",When you started living with your spouse did you think about it as a step toward marriage?,"['Yes, thought of it as a step toward marriage', 'No, did not think of it as a step toward marriage', 'Refused']","[1.0, 2.0]"
52,52,52,FAMSURV18B_W50,"{1.0: 'Yes, were engaged first', 2.0: 'No, were not engaged first', 99.0: 'Refused'}",Were you and your spouse engaged to be married before you moved in together?,"['Yes, were engaged first', 'No, were not engaged first', 'Refused']","[1.0, 2.0]"
