,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal
0,0,0,FIN_SIT_W54,"{1.0: 'Live comfortably', 2.0: 'Meet your basic expenses with a little left over for extras', 3.0: 'Just meet your basic expenses', 4.0: ""Don't even have enough to meet basic expenses"", 99.0: 'Refused'}",How would you describe your household's financial situation?,"['Live comfortably', 'Meet your basic expenses with a little left over for extras', 'Just meet your basic expenses', ""Don't even have enough to meet basic expenses"", 'Refused']","[1.0, 2.0, 3.0, 4.0]"
1,1,1,FIN_SITFUT_W54,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}","In the future, do you think your household will have enough money to live comfortably?","['Yes', 'No', 'Refused']","[1.0, 2.0]"
2,2,2,FIN_SITMOST_W54,"{1.0: 'Live comfortably', 2.0: 'Meet their basic expenses with a little left over for extras', 3.0: 'Just meet their basic expenses', 4.0: ""Don't even have enough to meet basic expenses"", 99.0: 'Refused'}",How would you describe the financial situation of most Americans?,"['Live comfortably', 'Meet their basic expenses with a little left over for extras', 'Just meet their basic expenses', ""Don't even have enough to meet basic expenses"", 'Refused']","[1.0, 2.0, 3.0, 4.0]"
3,3,3,FIN_SITCOMM_W54,"{1.0: 'Live comfortably', 2.0: 'Meet their basic expenses with a little left over for extras', 3.0: 'Just meet their basic expenses', 4.0: ""Don't even have enough to meet basic expenses"", 99.0: 'Refused'}",How would you describe the financial situation of most people in the area where you live?,"['Live comfortably', 'Meet their basic expenses with a little left over for extras', 'Just meet their basic expenses', ""Don't even have enough to meet basic expenses"", 'Refused']","[1.0, 2.0, 3.0, 4.0]"
4,4,4,FIN_SITGROWUP_W54,"{1.0: 'Lived comfortably', 2.0: 'Met basic expenses with a little left over for extras', 3.0: 'Just met basic expenses', 4.0: ""Didn't even have enough to meet basic expenses"", 99.0: 'Refused'}","Now thinking about when you were growing up, how would you describe your family's financial situation for most of the time when you were growing up?","['Lived comfortably', 'Met basic expenses with a little left over for extras', 'Just met basic expenses', ""Didn't even have enough to meet basic expenses"", 'Refused']","[1.0, 2.0, 3.0, 4.0]"
5,5,5,JOBTRAIN_W54,"{1.0: 'Essential', 2.0: 'Important, but not essential', 3.0: 'Not important', 99.0: 'Refused'}","Looking ahead, how important do you think it will be for you to get training and develop new skills throughout your work life in order to keep up with changes in the workplace?","['Essential', 'Important, but not essential', 'Not important', 'Refused']","[1.0, 2.0, 3.0]"
6,6,6,GOVPRIORITYa_W54,"{1.0: 'A top priority', 2.0: 'Important, but lower priority', 3.0: 'Not too important', 4.0: 'Should not be done', 99.0: 'Refused'}",How much of a priority should the following be for the federal government to address: Making health care more affordable,"['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
7,7,7,GOVPRIORITYb_W54,"{1.0: 'A top priority', 2.0: 'Important, but lower priority', 3.0: 'Not too important', 4.0: 'Should not be done', 99.0: 'Refused'}",How much of a priority should the following be for the federal government to address: Reducing illegal immigration,"['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
8,8,8,GOVPRIORITYc_W54,"{1.0: 'A top priority', 2.0: 'Important, but lower priority', 3.0: 'Not too important', 4.0: 'Should not be done', 99.0: 'Refused'}",How much of a priority should the following be for the federal government to address: Reducing economic inequality,"['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
9,9,9,GOVPRIORITYd_W54,"{1.0: 'A top priority', 2.0: 'Important, but lower priority', 3.0: 'Not too important', 4.0: 'Should not be done', 99.0: 'Refused'}",How much of a priority should the following be for the federal government to address: Addressing climate change,"['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
